,Zona,Puntaje Normalizado
8,9,1.0
2,3,0.9990168875426431
0,1,0.9885770947968191
9,10,0.951018111744209
3,4,0.9487896018398843
5,6,0.9457602191507831
4,5,0.9339453229777653
1,2,0.9287300948574757
7,8,0.9278943219292556
6,7,0.9264733119728913
