#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
252844,2019-12-31,5,Robo,-34.635537,-58.404296,PARQUE PATRICIOS,COMUNA 4
253084,2019-12-31,9,Robo,-34.635914,-58.398911,PARQUE PATRICIOS,COMUNA 4
254144,2019-12-31,4,Robo automotor,-34.626424,-58.422846,BOEDO,COMUNA 5
255373,2019-12-31,6,Robo,-34.620293,-58.416503,ALMAGRO,COMUNA 5
255396,2019-12-31,9,Robo,-34.622179,-58.414899,BOEDO,COMUNA 5
255480,2019-12-31,23,Hurto,-34.635318,-58.41618,BOEDO,COMUNA 5
256718,2019-12-31,16,Hurto automotor,-34.662706,-58.450496,VILLA SOLDATI,COMUNA 8
256804,2019-12-31,13,Robo,-34.661418,-58.454835,VILLA SOLDATI,COMUNA 8
256825,2019-12-31,22,Hurto automotor,-34.664992,-58.443022,VILLA SOLDATI,COMUNA 8
257309,2019-12-31,11,Robo,-34.665546,-58.484364,VILLA LUGANO,COMUNA 8
257508,2019-12-31,12,Robo,-34.678842,-58.477679,VILLA LUGANO,COMUNA 8
258594,2019-12-31,20,Robo,-34.67102,-58.488475,VILLA LUGANO,COMUNA 8
258752,2019-12-31,13,Hurto automotor,-34.663273,-58.475122,VILLA LUGANO,COMUNA 8
258858,2019-12-31,14,Hurto,-34.671986,-58.467137,VILLA LUGANO,COMUNA 8
259818,2019-12-31,7,Robo automotor,-34.674789,-58.466394,VILLA LUGANO,COMUNA 8
260071,2019-12-31,5,Robo,-34.68828,-58.472795,VILLA RIACHUELO,COMUNA 8
260142,2019-12-31,18,Robo automotor,-34.692347,-58.472299,VILLA RIACHUELO,COMUNA 8
260620,2019-12-31,13,Hurto,-34.685911,-58.456582,VILLA RIACHUELO,COMUNA 8
261178,2019-12-31,15,Robo,-34.583881,-58.401222,RECOLETA,COMUNA 2
262402,2019-12-31,23,Robo,-34.555834,-58.435466,PALERMO,COMUNA 14
262911,2019-12-31,22,Robo,-34.566583,-58.4179,PALERMO,COMUNA 14
263268,2019-12-31,19,Hurto,-34.577179,-58.422995,PALERMO,COMUNA 14
263923,2019-12-31,8,Hurto automotor,-34.624037,-58.519996,MONTE CASTRO,COMUNA 10
265171,2019-12-31,12,Hurto,-34.604562,-58.405475,BALVANERA,COMUNA 3
267046,2019-12-31,10,Hurto,-34.617623,-58.409401,BALVANERA,COMUNA 3
267236,2019-12-31,0,Robo,-34.602681,-58.409206,BALVANERA,COMUNA 3
267387,2019-12-31,11,Hurto,-34.610119,-58.405971,BALVANERA,COMUNA 3
267989,2019-12-31,1,Robo,-34.608935,-58.406133,BALVANERA,COMUNA 3
268020,2019-12-31,18,Hurto,-34.608935,-58.406133,BALVANERA,COMUNA 3
268795,2019-12-31,16,Robo,-34.610438,-58.410351,BALVANERA,COMUNA 3
268863,2019-12-31,15,Robo,-34.609709,-58.407552,BALVANERA,COMUNA 3
269084,2019-12-31,13,Robo,-34.601294,-58.411051,BALVANERA,COMUNA 3
269655,2019-12-31,13,Hurto,-34.622973,-58.412047,BOEDO,COMUNA 5
270114,2019-12-31,19,Hurto,-34.624486,-58.394744,SAN CRISTOBAL,COMUNA 3
270144,2019-12-31,14,Hurto,-34.624616,-58.391717,SAN CRISTOBAL,COMUNA 3
270164,2019-12-31,5,Robo,-34.618679,-58.399898,SAN CRISTOBAL,COMUNA 3
270338,2019-12-31,3,Hurto,-34.618735,-58.405086,BALVANERA,COMUNA 3
271218,2019-12-31,20,Robo,-34.622692,-58.405987,SAN CRISTOBAL,COMUNA 3
271363,2019-12-31,3,Robo,-34.610511,-58.394824,BALVANERA,COMUNA 3
272332,2019-12-31,14,Hurto,-34.604749,-58.403636,BALVANERA,COMUNA 3
273985,2019-12-31,17,Hurto,-34.604565,-58.394868,BALVANERA,COMUNA 3
274208,2019-12-31,13,Robo,-34.634121,-58.390359,PARQUE PATRICIOS,COMUNA 4
274463,2019-12-31,20,Hurto,-34.627781,-58.38134,CONSTITUCION,COMUNA 1
275884,2019-12-31,15,Robo,-34.627482,-58.383638,CONSTITUCION,COMUNA 1
277408,2019-12-31,14,Robo,-34.618056,-58.356435,BOCA,COMUNA 4
277533,2019-12-31,1,Robo automotor,-34.615892,-58.370573,MONSERRAT,COMUNA 1
278479,2019-12-31,13,Robo,-34.618383,-58.369306,SAN TELMO,COMUNA 1
278516,2019-12-31,15,Hurto,-34.620143,-58.374334,SAN TELMO,COMUNA 1
278535,2019-12-31,12,Hurto,-34.618532,-58.374099,SAN TELMO,COMUNA 1
279217,2019-12-31,4,Robo,-34.625193,-58.36798,SAN TELMO,COMUNA 1
279246,2019-12-31,22,Hurto,-34.624069,-58.368068,SAN TELMO,COMUNA 1
280037,2019-12-31,6,Robo,-34.583319,-58.382439,RETIRO,COMUNA 1
280167,2019-12-31,20,Robo,-34.590113,-58.373268,RETIRO,COMUNA 1
281613,2019-12-31,2,Robo,-34.590823,-58.373901,RETIRO,COMUNA 1
281767,2019-12-31,8,Robo,-34.582191,-58.380853,RETIRO,COMUNA 1
282166,2019-12-31,16,Robo,-34.598183,-58.384049,RETIRO,COMUNA 1
282600,2019-12-31,15,Hurto,-34.588102,-58.383406,RETIRO,COMUNA 1
282695,2019-12-31,15,Hurto automotor,-34.598941,-58.377578,SAN NICOLAS,COMUNA 1
283074,2019-12-31,12,Robo,-34.592585,-58.375982,RETIRO,COMUNA 1
283776,2019-12-31,12,Robo,-34.618661,-58.355825,BOCA,COMUNA 4
284314,2019-12-31,16,Robo,-34.636749,-58.364844,BOCA,COMUNA 4
284333,2019-12-31,13,Robo,-34.637474,-58.36424,BOCA,COMUNA 4
284428,2019-12-31,15,Robo,-34.647721,-58.362058,BOCA,COMUNA 4
285647,2019-12-31,20,Hurto,-34.631545,-58.376297,BARRACAS,COMUNA 4
285969,2019-12-31,2,Robo,-34.638694,-58.374276,BARRACAS,COMUNA 4
286547,2019-12-31,15,Hurto,-34.647249,-58.375317,BARRACAS,COMUNA 4
287311,2019-12-31,16,Robo,-34.58421,-58.472406,VILLA ORTUZAR,COMUNA 15
287396,2019-12-31,18,Hurto,-34.590361,-58.506721,VILLA PUEYRREDON,COMUNA 12
287556,2019-12-31,19,Hurto,-34.608874,-58.437889,CABALLITO,COMUNA 6
287970,2019-12-31,6,Robo,-34.572078,-58.455821,COLEGIALES,COMUNA 13
288435,2019-12-31,11,Robo,-34.544969,-58.487391,SAAVEDRA,COMUNA 12
288956,2019-12-31,10,Hurto,-34.635819,-58.420195,BOEDO,COMUNA 5
289754,2019-12-31,20,Robo,-34.636144,-58.3584,BOCA,COMUNA 4
290476,2019-12-31,22,Hurto,-34.609104,-58.383328,MONSERRAT,COMUNA 1
290937,2019-12-31,15,Hurto,-34.618175,-58.390485,CONSTITUCION,COMUNA 1
291125,2019-12-31,14,Hurto,-34.603352,-58.382459,SAN NICOLAS,COMUNA 1
292048,2019-12-31,2,Robo,-34.617659,-58.381519,MONSERRAT,COMUNA 1
292853,2019-12-31,15,Robo,-34.602757,-58.381082,SAN NICOLAS,COMUNA 1
