#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
1059,2022-10-31,23,Robo,-34.57844698,-58.38477513,RETIRO,COMUNA 1
1840,2022-10-31,22,Robo,-34.616092,-58.405822,BALVANERA,COMUNA 3
2359,2022-10-31,22,Hurto,-34.594583,-58.428668,PALERMO,COMUNA 14
5006,2022-10-31,2,Robo,-34.627954,-58.459858,FLORES,COMUNA 7
5074,2022-10-31,1,Robo,-34.649672,-58.469778,PARQUE AVELLANEDA,COMUNA 9
5535,2022-10-31,22,Robo,-34.667828,-58.508234,MATADEROS,COMUNA 9
5635,2022-10-31,22,Robo,-34.633946,-58.485774,VELEZ SARSFIELD,COMUNA 10
5636,2022-10-31,23,Robo,-34.636515,-58.499636,VILLA LURO,COMUNA 10
12042,2022-10-31,9,Hurto,-34.583306,-58.415332,PALERMO,COMUNA 14
12295,2022-10-31,6,Robo,-34.58720687,-58.39673523,RECOLETA,COMUNA 2
12415,2022-10-31,8,Hurto,-34.60408312,-58.41205721,BALVANERA,COMUNA 3
12509,2022-10-31,5,Robo,-34.579043,-58.428625,PALERMO,COMUNA 14
12659,2022-10-31,7,Robo,-34.603472,-58.376445,SAN NICOLAS,COMUNA 1
12798,2022-10-31,11,Hurto,-34.610769,-58.408855,BALVANERA,COMUNA 3
13081,2022-10-31,9,Hurto,-34.62186,-58.412601,BOEDO,COMUNA 5
13208,2022-10-31,7,Hurto,-34.652921,-58.52187,LINIERS,COMUNA 9
14788,2022-10-31,17,Hurto,-34.56748,-58.432254,PALERMO,COMUNA 14
14851,2022-10-31,14,Robo,-34.62002,-58.384313,CONSTITUCION,COMUNA 1
15302,2022-10-31,14,Robo,-34.604383,-58.388564,SAN NICOLAS,COMUNA 1
15997,2022-10-31,17,Hurto,-34.589414,-58.424897,PALERMO,COMUNA 14
15998,2022-10-31,20,Hurto,-34.58839233,-58.41108841,PALERMO,COMUNA 14
15999,2022-10-31,20,Hurto,-34.594221,-58.420629,PALERMO,COMUNA 14
16303,2022-10-31,17,Hurto,-34.61892031,-58.43786988,CABALLITO,COMUNA 6
18160,2022-10-31,0,Hurto,-34.59523653,-58.39938727,RECOLETA,COMUNA 2
18215,2022-10-31,1,Robo,-34.667045,-58.492691,VILLA LUGANO,COMUNA 8
18417,2022-10-31,0,Hurto,-34.6026483,-58.4122727,BALVANERA,COMUNA 3
20032,2022-10-31,2,Robo,-34.616536,-58.450944,CABALLITO,COMUNA 6
20064,2022-10-31,17,Hurto,-34.57695,-58.457464,COLEGIALES,COMUNA 13
20322,2022-10-31,8,Hurto,-34.622132,-58.458436,FLORES,COMUNA 7
20449,2022-10-31,8,Hurto,-34.592585,-58.401234,RECOLETA,COMUNA 2
20797,2022-10-31,10,Hurto,-34.58841348,-58.40585482,RECOLETA,COMUNA 2
20920,2022-10-31,9,Hurto,-34.592331,-58.447059,CHACARITA,COMUNA 15
21228,2022-10-31,6,Robo,-34.60117,-58.436821,VILLA CRESPO,COMUNA 15
21263,2022-10-31,12,Hurto,-34.61521827,-58.376026,MONSERRAT,COMUNA 1
21430,2022-10-31,7,Hurto,-34.643317,-58.486188,PARQUE AVELLANEDA,COMUNA 9
22201,2022-10-31,18,Hurto,-34.54762445,-58.45703969,NUÑEZ,COMUNA 13
22533,2022-10-31,14,Hurto,-34.585874,-58.48868,AGRONOMIA,COMUNA 15
23098,2022-10-31,14,Hurto,-34.627065,-58.378543,CONSTITUCION,COMUNA 1
23223,2022-10-31,15,Hurto,-34.548001,-58.461908,NUÑEZ,COMUNA 13
24113,2022-10-31,0,Robo,-34.556267,-58.491182,SAAVEDRA,COMUNA 12
24289,2022-10-31,5,Robo,-34.588271,-58.419652,PALERMO,COMUNA 14
24522,2022-10-31,5,Robo,-34.597235,-58.389935,RECOLETA,COMUNA 2
24534,2022-10-31,1,Robo,-34.596634,-58.453769,CHACARITA,COMUNA 15
25462,2022-10-31,20,Robo,-34.627009,-58.491094,FLORESTA,COMUNA 10
