#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
305,2022-05-31,23,Hurto,-34.650301,-58.514647,LINIERS,COMUNA 9
413,2022-05-31,0,Robo,-34.599898,-58.472345,PATERNAL,COMUNA 15
584,2022-05-31,23,Hurto,-34.642715,-58.404539,PARQUE PATRICIOS,COMUNA 4
1261,2022-05-31,5,Hurto,-34.59945,-58.400643,RECOLETA,COMUNA 2
1756,2022-05-31,1,Hurto,-34.60138315,-58.4058263,BALVANERA,COMUNA 3
2599,2022-05-31,1,Hurto,-34.595477,-58.403536,RECOLETA,COMUNA 2
2730,2022-05-31,22,Robo,-34.617843,-58.411004,BALVANERA,COMUNA 3
2789,2022-05-31,0,Hurto,-34.657475,-58.400608,BARRACAS,COMUNA 4
2887,2022-05-31,23,Robo,-34.64253,-58.429316,NUEVA POMPEYA,COMUNA 4
3003,2022-05-31,0,Hurto,-34.6279317,-58.36015929,BOCA,COMUNA 4
3096,2022-05-31,23,Hurto,-34.580728,-58.442285,COLEGIALES,COMUNA 13
3100,2022-05-31,0,Hurto,-34.63402857,-58.38020248,BARRACAS,COMUNA 4
3261,2022-05-31,5,Robo,-34.639166,-58.423763,PARQUE CHACABUCO,COMUNA 7
3496,2022-05-31,0,Robo,-34.644136,-58.437328,PARQUE CHACABUCO,COMUNA 7
3500,2022-05-31,23,Robo,-34.626153,-58.455378,FLORES,COMUNA 7
3640,2022-05-31,4,Hurto,-34.67238632,-58.47316893,VILLA LUGANO,COMUNA 8
3642,2022-05-31,22,Robo,-34.678116,-58.491265,VILLA LUGANO,COMUNA 8
4595,2022-05-31,23,Robo,-34.600958,-58.417799,ALMAGRO,COMUNA 5
5046,2022-05-31,4,Hurto,-34.655479,-58.402883,NUEVA POMPEYA,COMUNA 4
5450,2022-05-31,5,Hurto,-34.646663,-58.509431,LINIERS,COMUNA 9
5675,2022-05-31,4,Hurto,-34.627427,-58.452107,CABALLITO,COMUNA 6
11593,2022-05-31,22,Robo,-34.638515,-58.516623,LINIERS,COMUNA 9
11914,2022-05-31,12,Hurto,-34.576926,-58.488642,VILLA URQUIZA,COMUNA 12
11958,2022-05-31,12,Hurto,-34.573798,-58.442423,COLEGIALES,COMUNA 13
12096,2022-05-31,11,Robo,-34.599853,-58.429626,ALMAGRO,COMUNA 5
12225,2022-05-31,12,Robo,-34.64017,-58.42349,BOEDO,COMUNA 5
12450,2022-05-31,10,Robo,-34.594555,-58.386412,RETIRO,COMUNA 1
12558,2022-05-31,7,Robo,-34.61875,-58.374319,SAN TELMO,COMUNA 1
12715,2022-05-31,8,Hurto,-34.598576,-58.397334,RECOLETA,COMUNA 2
12785,2022-05-31,9,Hurto,-34.609749,-58.398989,BALVANERA,COMUNA 3
12935,2022-05-31,13,Hurto,-34.586339,-58.451812,CHACARITA,COMUNA 15
13104,2022-05-31,12,Hurto,-34.63146,-58.472378,FLORES,COMUNA 7
13143,2022-05-31,13,Hurto,-34.628717,-58.480211,FLORESTA,COMUNA 10
13426,2022-05-31,10,Robo,-34.611512,-58.438906,CABALLITO,COMUNA 6
14634,2022-05-31,15,Robo,-34.564979,-58.438714,PALERMO,COMUNA 14
14693,2022-05-31,19,Hurto,-34.599824,-58.393208,BALVANERA,COMUNA 3
14696,2022-05-31,19,Hurto,-34.595413,-58.444759,VILLA CRESPO,COMUNA 15
14697,2022-05-31,20,Robo,-34.563383,-58.442041,PALERMO,COMUNA 14
14767,2022-05-31,16,Hurto,-34.620682,-58.369081,SAN TELMO,COMUNA 1
15191,2022-05-31,17,Robo,-34.604153,-58.425901,ALMAGRO,COMUNA 5
15336,2022-05-31,20,Hurto,-34.604478,-58.389429,SAN NICOLAS,COMUNA 1
15926,2022-05-31,19,Robo,-34.588556,-58.410667,PALERMO,COMUNA 14
16106,2022-05-31,18,Robo,-34.5972563,-58.39757835,RECOLETA,COMUNA 2
16195,2022-05-31,16,Hurto,-34.618838,-58.403518,BALVANERA,COMUNA 3
16196,2022-05-31,15,Hurto,-34.619345,-58.405543,SAN CRISTOBAL,COMUNA 3
16635,2022-05-31,15,Robo,-34.643011,-58.526212,LINIERS,COMUNA 9
18067,2022-05-31,0,Hurto,-34.604226,-58.392547,BALVANERA,COMUNA 3
18068,2022-05-31,0,Hurto,-34.587414,-58.438872,PALERMO,COMUNA 14
18069,2022-05-31,2,Hurto,-34.613536,-58.371793,MONSERRAT,COMUNA 1
18528,2022-05-31,2,Robo,-34.589497,-58.427076,PALERMO,COMUNA 14
20118,2022-05-31,21,Hurto,-34.556885,-58.46253,BELGRANO,COMUNA 13
20537,2022-05-31,12,Hurto,-34.62772,-58.469526,FLORES,COMUNA 7
21323,2022-05-31,12,Hurto,-34.598758,-58.434547,VILLA CRESPO,COMUNA 15
21809,2022-05-31,11,Hurto,-34.633912,-58.528389,VERSALLES,COMUNA 10
21816,2022-05-31,13,Robo,-34.611769,-58.502083,MONTE CASTRO,COMUNA 10
