#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
704737,2017-12-31,7,Robo,-34.5990497,-58.4280839,ALMAGRO,COMUNA 5
704740,2017-12-31,10,Robo,-34.587128,-58.4361793,PALERMO,COMUNA 14
704743,2017-12-31,15,Robo,-34.57813,-58.4265957,PALERMO,COMUNA 14
704746,2017-12-31,20,Robo,-34.5948703,-58.5119094,VILLA DEVOTO,COMUNA 11
704749,2017-12-31,7,Robo,-34.5860387,-58.435742,PALERMO,COMUNA 14
704752,2017-12-31,18,Robo,-34.6344662,-58.3919618,PARQUE PATRICIOS,COMUNA 4
704755,2017-12-31,23,Robo,-34.6119635,-58.4209046,ALMAGRO,COMUNA 5
704758,2017-12-31,23,Robo automotor,-34.634296,-58.4109652,BOEDO,COMUNA 5
704761,2017-12-31,22,Robo,-34.6303136,-58.4802997,FLORESTA,COMUNA 10
704764,2017-12-31,21,Robo,-34.5763645,-58.4315023,PALERMO,COMUNA 14
704767,2017-12-31,21,Robo,-34.6020183,-58.4338829,VILLA CRESPO,COMUNA 15
704770,2017-12-31,8,Robo,-34.6398539,-58.5185948,LINIERS,COMUNA 9
704773,2017-12-31,18,Robo,-34.6464965,-58.5228822,LINIERS,COMUNA 9
704776,2017-12-31,19,Robo,-34.648191,-58.4039168,NUEVA POMPEYA,COMUNA 4
704779,2017-12-31,19,Robo automotor,-34.6163896,-58.4962702,MONTE CASTRO,COMUNA 10
704782,2017-12-31,18,Robo,-34.5890637,-58.4101367,PALERMO,COMUNA 14
704785,2017-12-31,7,Robo,-34.6427975,-58.3977808,PARQUE PATRICIOS,COMUNA 4
704788,2017-12-31,16,Robo,-34.6266487,-58.428407,CABALLITO,COMUNA 6
704791,2017-12-31,16,Robo,-34.5893297,-58.4292302,PALERMO,COMUNA 14
704794,2017-12-31,15,Robo,-34.5822056,-58.4895708,VILLA URQUIZA,COMUNA 12
704797,2017-12-31,15,Robo,-34.624829,-58.4938268,FLORESTA,COMUNA 10
704800,2017-12-31,15,Robo,-34.6395179,-58.3651745,BOCA,COMUNA 4
704803,2017-12-31,0,Robo,-34.6102734,-58.5023358,VILLA DEVOTO,COMUNA 11
704806,2017-12-31,15,Robo,-34.579315,-58.4244183,PALERMO,COMUNA 14
704809,2017-12-31,2,Robo,-34.6089939,-58.5238517,VILLA DEVOTO,COMUNA 11
704812,2017-12-31,14,Robo,-34.620007,-58.4186086,ALMAGRO,COMUNA 5
704815,2017-12-31,14,Robo,-34.6259674,-58.4837835,FLORESTA,COMUNA 10
704818,2017-12-31,14,Robo,-34.651535,-58.3954274,BARRACAS,COMUNA 4
704821,2017-12-31,12,Robo automotor,-34.653734,-58.4816073,PARQUE AVELLANEDA,COMUNA 9
704824,2017-12-31,12,Robo,-34.6035906,-58.4167499,ALMAGRO,COMUNA 5
704827,2017-12-31,11,Robo,-34.6033175,-58.3777068,SAN NICOLAS,COMUNA 1
704830,2017-12-31,0,Robo,-34.6423267,-58.4594659,FLORES,COMUNA 7
704833,2017-12-31,10,Robo,-34.647416,-58.4850184,PARQUE AVELLANEDA,COMUNA 9
704836,2017-12-31,10,Robo,-34.629479,-58.4912576,VELEZ SARSFIELD,COMUNA 10
704839,2017-12-31,4,Robo,-34.5980828,-58.408186,BALVANERA,COMUNA 3
704842,2017-12-31,18,Robo,-34.5914091,-58.4078691,RECOLETA,COMUNA 2
704845,2017-12-31,12,Robo,-34.595113,-58.399016,RECOLETA,COMUNA 2
704848,2017-12-31,3,Robo,-34.6316179,-58.416747,BOEDO,COMUNA 5
704851,2017-12-31,9,Robo,-34.5425167,-58.4765957,SAAVEDRA,COMUNA 12
704854,2017-12-31,8,Robo,-34.6416647,-58.5275231,LINIERS,COMUNA 9
704857,2017-12-31,6,Robo,-34.5804942,-58.4509474,COLEGIALES,COMUNA 13
704860,2017-12-31,5,Robo automotor,-34.6336337,-58.3599215,BOCA,COMUNA 4
704863,2017-12-31,3,Robo,-34.565405,-58.4201031,PALERMO,COMUNA 14
704866,2017-12-31,3,Robo,-34.6260291,-58.4202522,BOEDO,COMUNA 5
704869,2017-12-31,2,Robo,-34.5827829,-58.4689373,VILLA ORTUZAR,COMUNA 15
704872,2017-12-31,2,Robo,-34.6230758,-58.5015964,MONTE CASTRO,COMUNA 10
704875,2017-12-31,2,Robo,-34.611259,-58.4679047,VILLA GRAL. MITRE,COMUNA 11
704878,2017-12-31,1,Robo,-34.6559787,-58.3950646,BARRACAS,COMUNA 4
704881,2017-12-31,1,Robo,-34.552055,-58.4697342,NUÑEZ,COMUNA 13
704884,2017-12-31,1,Robo,-34.6585443,-58.3948595,BARRACAS,COMUNA 4
704887,2017-12-31,0,Robo,-34.624084,-58.4909421,FLORESTA,COMUNA 10
704890,2017-12-31,0,Robo automotor,-34.6439112,-58.4657874,FLORES,COMUNA 7
831285,2017-12-31,23,Hurto,-34.6447875,-58.4166284,NUEVA POMPEYA,COMUNA 4
831288,2017-12-31,12,Hurto automotor,-34.6391701,-58.5161341,LINIERS,COMUNA 9
831291,2017-12-31,1,Hurto,-34.6384001,-58.4047911,PARQUE PATRICIOS,COMUNA 4
831294,2017-12-31,10,Hurto,-34.6378709,-58.5252119,LINIERS,COMUNA 9
