#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
651859,2017-09-30,3,Robo,-34.5748964,-58.4146702,PALERMO,COMUNA 14
651862,2017-09-30,13,Robo,-34.6093851,-58.3777491,MONSERRAT,COMUNA 1
651865,2017-09-30,14,Robo,-34.5409002,-58.4725816,NUÑEZ,COMUNA 13
651868,2017-09-30,22,Robo,-34.6126342,-58.3747085,MONSERRAT,COMUNA 1
651871,2017-09-30,8,Robo,-34.6405061,-58.5089486,VILLA LURO,COMUNA 10
651874,2017-09-30,18,Robo,-34.5789097,-58.4499644,COLEGIALES,COMUNA 13
651877,2017-09-30,19,Robo,-34.5747566,-58.4828911,VILLA URQUIZA,COMUNA 12
651880,2017-09-30,10,Robo,-34.6290371,-58.3827476,CONSTITUCION,COMUNA 1
651883,2017-09-30,7,Robo,-34.6025574,-58.4271136,ALMAGRO,COMUNA 5
651886,2017-09-30,21,Robo,-34.6071509,-58.4231964,ALMAGRO,COMUNA 5
651889,2017-09-30,16,Robo,-34.5841693,-58.4271516,PALERMO,COMUNA 14
651892,2017-09-30,22,Robo,-34.6536753,-58.5254472,LINIERS,COMUNA 9
651895,2017-09-30,23,Robo,-34.6231141,-58.4384863,CABALLITO,COMUNA 6
651898,2017-09-30,23,Robo automotor,-34.652343,-58.5247303,LINIERS,COMUNA 9
651901,2017-09-30,20,Robo,-34.6292056,-58.4055603,PARQUE PATRICIOS,COMUNA 4
651904,2017-09-30,15,Robo,-34.6056406,-58.4515597,VILLA CRESPO,COMUNA 15
651907,2017-09-30,1,Robo,-34.583753,-58.4338264,PALERMO,COMUNA 14
651910,2017-09-30,5,Robo,-34.5767456,-58.478315,VILLA URQUIZA,COMUNA 12
651913,2017-09-30,21,Robo,-34.6081314,-58.395883,BALVANERA,COMUNA 3
651916,2017-09-30,21,Robo,-34.6189757,-58.3902745,CONSTITUCION,COMUNA 1
651919,2017-09-30,21,Robo,-34.551993,-58.4535699,BELGRANO,COMUNA 13
651922,2017-09-30,20,Robo,-34.6671223,-58.4886297,VILLA LUGANO,COMUNA 8
651925,2017-09-30,17,Robo,-34.6144198,-58.4013619,BALVANERA,COMUNA 3
651928,2017-09-30,20,Robo,-34.6225442,-58.4307709,CABALLITO,COMUNA 6
651931,2017-09-30,15,Robo,-34.5539665,-58.4609087,NUÑEZ,COMUNA 13
651934,2017-09-30,23,Robo,-34.6077282,-58.4061262,BALVANERA,COMUNA 3
651937,2017-09-30,12,Robo automotor,-34.547032,-58.4473246,BELGRANO,COMUNA 13
651940,2017-09-30,21,Robo,-34.5689816,-58.4094543,PALERMO,COMUNA 14
651943,2017-09-30,17,Robo,-34.6411861,-58.4232383,NUEVA POMPEYA,COMUNA 4
651946,2017-09-30,21,Robo automotor,-34.6528182,-58.5079807,MATADEROS,COMUNA 9
651949,2017-09-30,20,Robo,-34.5396514,-58.4722193,NUÑEZ,COMUNA 13
651952,2017-09-30,21,Robo,-34.5670348,-58.4454556,PALERMO,COMUNA 14
651955,2017-09-30,21,Robo,-34.5670348,-58.4454556,PALERMO,COMUNA 14
651958,2017-09-30,16,Robo,-34.6278265,-58.4252318,BOEDO,COMUNA 5
651961,2017-09-30,15,Robo,-34.5525661,-58.4718955,NUÑEZ,COMUNA 13
651964,2017-09-30,16,Robo,-34.6478585,-58.432974,NUEVA POMPEYA,COMUNA 4
651967,2017-09-30,21,Robo automotor,-34.6748758,-58.474116,VILLA LUGANO,COMUNA 8
651970,2017-09-30,11,Robo,-34.6462235,-58.4349404,PARQUE CHACABUCO,COMUNA 7
651973,2017-09-30,21,Robo,-34.6194674,-58.4684066,FLORES,COMUNA 7
651976,2017-09-30,20,Robo,-34.6060903,-58.3808513,SAN NICOLAS,COMUNA 1
651979,2017-09-30,21,Robo,-34.6507906,-58.3922823,BARRACAS,COMUNA 4
651982,2017-09-30,23,Robo,-34.6559099,-58.4027267,BARRACAS,COMUNA 4
651985,2017-09-30,19,Robo,-34.5941294,-58.3995031,RECOLETA,COMUNA 2
651988,2017-09-30,8,Robo,-34.5769961,-58.4476325,COLEGIALES,COMUNA 13
651991,2017-09-30,17,Robo,,,,
651994,2017-09-30,23,Robo,-34.6549731,-58.5219546,LINIERS,COMUNA 9
651997,2017-09-30,6,Robo,-34.6311207,-58.5067799,VILLA LURO,COMUNA 10
652000,2017-09-30,23,Robo,-34.6669475,-58.4841232,VILLA LUGANO,COMUNA 8
652003,2017-09-30,11,Robo,-34.6778482,-58.4647345,VILLA LUGANO,COMUNA 8
652006,2017-09-30,19,Robo,-34.6422929,-58.5033922,VILLA LURO,COMUNA 10
652009,2017-09-30,23,Robo,-34.6300981,-58.3755118,BARRACAS,COMUNA 4
652012,2017-09-30,19,Robo,-34.6332887,-58.4684831,FLORES,COMUNA 7
652015,2017-09-30,21,Robo,-34.5980828,-58.408186,BALVANERA,COMUNA 3
652018,2017-09-30,23,Robo,-34.5948228,-58.4400343,VILLA CRESPO,COMUNA 15
652021,2017-09-30,22,Robo,-34.6010445,-58.4192897,ALMAGRO,COMUNA 5
652024,2017-09-30,20,Robo,-34.5721328,-58.4477974,COLEGIALES,COMUNA 13
652027,2017-09-30,22,Robo,-34.566773,-58.4556766,BELGRANO,COMUNA 13
652030,2017-09-30,21,Robo,,,,
652033,2017-09-30,20,Robo,,,,
652036,2017-09-30,22,Robo,-34.611829,-58.4222142,ALMAGRO,COMUNA 5
652039,2017-09-30,19,Robo,-34.6193337,-58.4359206,CABALLITO,COMUNA 6
652042,2017-09-30,23,Robo,-34.5694288,-58.5004743,VILLA URQUIZA,COMUNA 12
652045,2017-09-30,21,Robo,-34.5533467,-58.4355015,BELGRANO,COMUNA 13
652048,2017-09-30,22,Robo,-34.6236703,-58.3927784,SAN CRISTOBAL,COMUNA 3
652051,2017-09-30,22,Robo,-34.6269515,-58.427205,CABALLITO,COMUNA 6
652054,2017-09-30,23,Robo,-34.6208991,-58.5160378,MONTE CASTRO,COMUNA 10
652057,2017-09-30,22,Robo,-34.642234,-58.3994447,PARQUE PATRICIOS,COMUNA 4
652060,2017-09-30,23,Robo automotor,-34.589244,-58.3714107,RETIRO,COMUNA 1
652063,2017-09-30,23,Robo,-34.5777875,-58.4902165,VILLA URQUIZA,COMUNA 12
652066,2017-09-30,22,Robo,-34.6053204,-58.4084539,BALVANERA,COMUNA 3
652069,2017-09-30,22,Robo,-34.5978352,-58.4249321,VILLA CRESPO,COMUNA 15
652072,2017-09-30,20,Robo,-34.6378245,-58.3746905,BARRACAS,COMUNA 4
652075,2017-09-30,22,Robo,-34.596556,-58.4187712,PALERMO,COMUNA 14
652078,2017-09-30,21,Robo,-34.6028742,-58.4107085,BALVANERA,COMUNA 3
652081,2017-09-30,21,Robo automotor,-34.6137696,-58.4453071,CABALLITO,COMUNA 6
652084,2017-09-30,20,Robo,-34.6043237,-58.3908198,SAN NICOLAS,COMUNA 1
652087,2017-09-30,21,Robo,-34.6197687,-58.3801732,CONSTITUCION,COMUNA 1
652090,2017-09-30,21,Robo,-34.6289835,-58.3813896,CONSTITUCION,COMUNA 1
652093,2017-09-30,20,Robo,-34.608605,-58.521826,VILLA DEVOTO,COMUNA 11
652096,2017-09-30,19,Robo automotor,-34.5717825,-58.496652,VILLA URQUIZA,COMUNA 12
652099,2017-09-30,20,Robo,-34.6307249,-58.3731443,BARRACAS,COMUNA 4
652102,2017-09-30,20,Robo,-34.5231881,-58.5620237,,
652105,2017-09-30,19,Robo,-34.5726364,-58.5079656,VILLA PUEYRREDON,COMUNA 12
652108,2017-09-30,20,Robo,,,,
652111,2017-09-30,6,Robo,-34.6060132,-58.5049161,VILLA DEVOTO,COMUNA 11
652114,2017-09-30,18,Robo,-34.5689816,-58.4094543,PALERMO,COMUNA 14
652117,2017-09-30,20,Robo,-34.5915756,-58.3818474,RETIRO,COMUNA 1
652120,2017-09-30,19,Robo,-34.6401322,-58.408905,PARQUE PATRICIOS,COMUNA 4
652123,2017-09-30,23,Robo,-34.6040918,-58.3879002,SAN NICOLAS,COMUNA 1
652126,2017-09-30,19,Robo,-34.5794146,-58.411267,PALERMO,COMUNA 14
652129,2017-09-30,19,Robo,-34.6422096,-58.3799343,BARRACAS,COMUNA 4
652132,2017-09-30,19,Robo,,,,
652135,2017-09-30,18,Robo automotor,-34.6323093,-58.5030483,VILLA LURO,COMUNA 10
652138,2017-09-30,4,Robo,-34.6787496,-58.4868209,VILLA LUGANO,COMUNA 8
652141,2017-09-30,19,Robo automotor,-34.5717825,-58.496652,VILLA URQUIZA,COMUNA 12
652144,2017-09-30,2,Robo,,,,
652147,2017-09-30,9,Robo,-34.6247549,-58.410378,SAN CRISTOBAL,COMUNA 3
652150,2017-09-30,18,Robo,-34.6257498,-58.448199,CABALLITO,COMUNA 6
652153,2017-09-30,18,Robo,-34.6087386,-58.4292038,ALMAGRO,COMUNA 5
652156,2017-09-30,18,Robo,,,,
652159,2017-09-30,4,Robo,-34.5785789,-58.4299317,PALERMO,COMUNA 14
652162,2017-09-30,18,Robo,-34.5825775,-58.4984683,VILLA PUEYRREDON,COMUNA 12
652165,2017-09-30,17,Robo,-34.628819,-58.4568645,FLORES,COMUNA 7
652168,2017-09-30,18,Robo,-34.6175374,-58.3787693,MONSERRAT,COMUNA 1
652171,2017-09-30,17,Robo,-34.5975212,-58.4034329,RECOLETA,COMUNA 2
652174,2017-09-30,17,Robo,-34.5584242,-58.4506168,BELGRANO,COMUNA 13
652177,2017-09-30,18,Robo,-34.6094404,-58.4159586,ALMAGRO,COMUNA 5
652180,2017-09-30,8,Robo,-34.6243051,-58.4506646,CABALLITO,COMUNA 6
652183,2017-09-30,14,Robo,-34.6457481,-58.5142077,LINIERS,COMUNA 9
652186,2017-09-30,12,Robo,-34.6402386,-58.5263484,LINIERS,COMUNA 9
652189,2017-09-30,17,Robo,-34.6206867,-58.4155187,ALMAGRO,COMUNA 5
652192,2017-09-30,14,Robo,-34.6051012,-58.4120337,BALVANERA,COMUNA 3
652195,2017-09-30,13,Robo,-34.5950401,-58.3778701,RETIRO,COMUNA 1
652198,2017-09-30,14,Robo,-34.5750775,-58.4309763,PALERMO,COMUNA 14
652201,2017-09-30,16,Robo,-34.566694,-58.457433,BELGRANO,COMUNA 13
652204,2017-09-30,16,Robo,-34.5839277,-58.4561442,CHACARITA,COMUNA 15
652207,2017-09-30,16,Robo,-34.6372322,-58.3561727,BOCA,COMUNA 4
652210,2017-09-30,17,Robo,-34.602846,-58.4241173,ALMAGRO,COMUNA 5
652213,2017-09-30,16,Robo,-34.6030229,-58.4256113,ALMAGRO,COMUNA 5
652216,2017-09-30,13,Robo,-34.6292836,-58.4640966,FLORES,COMUNA 7
652219,2017-09-30,15,Robo,-34.6415971,-58.362341,BOCA,COMUNA 4
652222,2017-09-30,15,Robo,-34.6010893,-58.4239687,ALMAGRO,COMUNA 5
652225,2017-09-30,15,Robo,-34.5969873,-58.4075934,RECOLETA,COMUNA 2
652228,2017-09-30,4,Robo,-34.6401152,-58.5250155,LINIERS,COMUNA 9
652231,2017-09-30,15,Robo,-34.6023715,-58.4309082,ALMAGRO,COMUNA 5
652234,2017-09-30,13,Robo,-34.6363065,-58.4440888,PARQUE CHACABUCO,COMUNA 7
652237,2017-09-30,15,Robo,-34.5562025,-58.4588301,BELGRANO,COMUNA 13
652240,2017-09-30,15,Robo,-34.5960533,-58.4479799,VILLA CRESPO,COMUNA 15
652243,2017-09-30,14,Robo,,,,
652246,2017-09-30,15,Robo,-34.6002511,-58.4375858,VILLA CRESPO,COMUNA 15
652249,2017-09-30,2,Robo,-34.5890386,-58.3972533,RECOLETA,COMUNA 2
652252,2017-09-30,14,Robo automotor,-34.6467164,-58.3696672,BARRACAS,COMUNA 4
652255,2017-09-30,8,Robo,-34.6278058,-58.4720762,FLORES,COMUNA 7
652258,2017-09-30,4,Robo,-34.6724139,-58.4934571,VILLA LUGANO,COMUNA 8
652261,2017-09-30,12,Robo,-34.5880918,-58.4252958,PALERMO,COMUNA 14
652264,2017-09-30,7,Robo,-34.5582175,-58.4452776,BELGRANO,COMUNA 13
652267,2017-09-30,10,Robo,-34.6086812,-58.4270206,ALMAGRO,COMUNA 5
652270,2017-09-30,11,Robo,-34.6150671,-58.4734334,VILLA GRAL. MITRE,COMUNA 11
652273,2017-09-30,14,Robo,-34.5817774,-58.4141811,PALERMO,COMUNA 14
652276,2017-09-30,13,Robo,-34.5992431,-58.4505858,VILLA CRESPO,COMUNA 15
652279,2017-09-30,14,Robo,-34.5965577,-58.4501978,VILLA CRESPO,COMUNA 15
652282,2017-09-30,3,Robo,-34.6513552,-58.3953523,BARRACAS,COMUNA 4
652285,2017-09-30,12,Robo,-34.5548009,-58.4493085,BELGRANO,COMUNA 13
652288,2017-09-30,13,Robo,-34.6298873,-58.4565681,FLORES,COMUNA 7
652291,2017-09-30,13,Robo automotor,-34.6087362,-58.4304911,CABALLITO,COMUNA 6
652294,2017-09-30,13,Robo,-34.6335178,-58.513889,LINIERS,COMUNA 9
652297,2017-09-30,0,Robo automotor,-34.6425571,-58.3744702,BARRACAS,COMUNA 4
652300,2017-09-30,13,Robo,-34.6395283,-58.3866733,BARRACAS,COMUNA 4
652303,2017-09-30,10,Robo,-34.6095379,-58.5175673,VILLA DEVOTO,COMUNA 11
652306,2017-09-30,12,Robo,-34.574807,-58.4412688,PALERMO,COMUNA 14
652309,2017-09-30,11,Robo,-34.6066494,-58.4630599,VILLA GRAL. MITRE,COMUNA 11
652312,2017-09-30,10,Robo,-34.6064701,-58.4819187,VILLA DEL PARQUE,COMUNA 11
652315,2017-09-30,1,Robo,-34.591546,-58.4010437,RECOLETA,COMUNA 2
652318,2017-09-30,11,Robo,-34.6036376,-58.378275,SAN NICOLAS,COMUNA 1
