#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
193346,2020-09-30,16,Hurto automotor,-34.616179,-58.384473,MONSERRAT,COMUNA 1
193963,2020-09-30,20,Robo,-34.613905,-58.376099,MONSERRAT,COMUNA 1
194826,2020-09-30,15,Robo,-34.602049,-58.375339,SAN NICOLAS,COMUNA 1
195462,2020-09-30,8,Robo,-34.603063,-58.480797,VILLA DEL PARQUE,COMUNA 11
195702,2020-09-30,23,Hurto,-34.606617,-58.477171,VILLA DEL PARQUE,COMUNA 11
195887,2020-09-30,10,Hurto,-34.604874,-58.490542,VILLA DEL PARQUE,COMUNA 11
196603,2020-09-30,10,Robo,-34.605006,-58.467097,VILLA GRAL. MITRE,COMUNA 11
196710,2020-09-30,1,Robo,-34.618446,-58.490487,VILLA SANTA RITA,COMUNA 11
197459,2020-09-30,2,Hurto,-34.597878,-58.48908,VILLA DEL PARQUE,COMUNA 11
197513,2020-09-30,2,Robo,-34.597464,-58.49822,VILLA DEL PARQUE,COMUNA 11
198136,2020-09-30,11,Hurto,-34.582921,-58.462784,VILLA ORTUZAR,COMUNA 15
198591,2020-09-30,9,Hurto automotor,-34.581853,-58.470828,VILLA ORTUZAR,COMUNA 15
198636,2020-09-30,17,Hurto,-34.582568,-58.473975,PARQUE CHAS,COMUNA 15
199588,2020-09-30,20,Robo,-34.585182,-58.453967,CHACARITA,COMUNA 15
199623,2020-09-30,8,Robo,-34.584513,-58.444788,CHACARITA,COMUNA 15
199710,2020-09-30,18,Robo,-34.601113,-58.472209,PATERNAL,COMUNA 15
199852,2020-09-30,17,Hurto,-34.574331,-58.508734,VILLA PUEYRREDON,COMUNA 12
200150,2020-09-30,17,Hurto,-34.582294,-58.50224,VILLA PUEYRREDON,COMUNA 12
200340,2020-09-30,22,Hurto,-34.586225,-58.50314,VILLA PUEYRREDON,COMUNA 12
200508,2020-09-30,17,Hurto,-34.600604,-58.439959,VILLA CRESPO,COMUNA 15
200552,2020-09-30,16,Hurto,-34.593667,-58.436086,VILLA CRESPO,COMUNA 15
201737,2020-09-30,21,Hurto,-34.595216,-58.441191,VILLA CRESPO,COMUNA 15
202051,2020-09-30,5,Hurto,-34.616273,-58.445975,CABALLITO,COMUNA 6
202087,2020-09-30,20,Robo,-34.606471,-58.435768,CABALLITO,COMUNA 6
202262,2020-09-30,20,Robo,-34.613521,-58.441383,CABALLITO,COMUNA 6
202561,2020-09-30,9,Hurto,-34.608017,-58.450987,CABALLITO,COMUNA 6
202841,2020-09-30,2,Robo,-34.616353,-58.456997,CABALLITO,COMUNA 6
203092,2020-09-30,12,Hurto automotor,-34.616193,-58.440266,CABALLITO,COMUNA 6
203214,2020-09-30,6,Robo,-34.610183,-58.434119,CABALLITO,COMUNA 6
203254,2020-09-30,22,Hurto,-34.610468,-58.441654,CABALLITO,COMUNA 6
203373,2020-09-30,11,Robo,-34.628499,-58.465936,FLORES,COMUNA 7
203852,2020-09-30,11,Hurto,-34.62841,-58.462839,FLORES,COMUNA 7
204468,2020-09-30,9,Robo,-34.630235,-58.463656,FLORES,COMUNA 7
205011,2020-09-30,12,Hurto,-34.631419,-58.478494,FLORESTA,COMUNA 10
205106,2020-09-30,9,Hurto automotor,-34.621806,-58.514701,MONTE CASTRO,COMUNA 10
205510,2020-09-30,15,Robo,-34.629189,-58.49538,VELEZ SARSFIELD,COMUNA 10
205570,2020-09-30,23,Hurto,-34.622474,-58.488836,FLORESTA,COMUNA 10
205821,2020-09-30,16,Robo,-34.629156,-58.48231,FLORESTA,COMUNA 10
206003,2020-09-30,4,Hurto,-34.621925,-58.492598,FLORESTA,COMUNA 10
206138,2020-09-30,18,Robo,-34.627975,-58.482869,FLORESTA,COMUNA 10
206347,2020-09-30,23,Robo,-34.611875,-58.415339,ALMAGRO,COMUNA 5
