#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
192746,2020-08-31,16,Robo,-34.606701,-58.39075,SAN NICOLAS,COMUNA 1
193224,2020-08-31,16,Robo,-34.603007,-58.389465,SAN NICOLAS,COMUNA 1
193461,2020-08-31,22,Robo,-34.602773,-58.386647,SAN NICOLAS,COMUNA 1
193801,2020-08-31,18,Robo,-34.610365,-58.38634,MONSERRAT,COMUNA 1
194070,2020-08-31,9,Hurto,-34.601205,-58.369778,SAN NICOLAS,COMUNA 1
194917,2020-08-31,7,Robo,-34.59957,-58.371398,SAN NICOLAS,COMUNA 1
195426,2020-08-31,16,Hurto,-34.600115,-58.480275,VILLA DEL PARQUE,COMUNA 11
195595,2020-08-31,5,Hurto,-34.613232,-58.465878,VILLA GRAL. MITRE,COMUNA 11
196025,2020-08-31,19,Hurto automotor,-34.604071,-58.469604,VILLA GRAL. MITRE,COMUNA 11
196570,2020-08-31,13,Robo,-34.612735,-58.461442,VILLA GRAL. MITRE,COMUNA 11
196674,2020-08-31,19,Hurto,-34.605653,-58.473829,VILLA GRAL. MITRE,COMUNA 11
196736,2020-08-31,16,Hurto,-34.608728,-58.483091,VILLA DEL PARQUE,COMUNA 11
197553,2020-08-31,12,Hurto,-34.616731,-58.513043,MONTE CASTRO,COMUNA 10
198194,2020-08-31,23,Hurto,-34.585983,-58.487771,AGRONOMIA,COMUNA 15
198526,2020-08-31,21,Hurto,-34.588647,-58.491428,AGRONOMIA,COMUNA 15
198572,2020-08-31,16,Robo,-34.583514,-58.468346,VILLA ORTUZAR,COMUNA 15
198827,2020-08-31,10,Robo,-34.598304,-58.46333,PATERNAL,COMUNA 15
199045,2020-08-31,8,Hurto,-34.587436,-58.455408,CHACARITA,COMUNA 15
200308,2020-08-31,15,Robo,-34.589447,-58.503421,VILLA PUEYRREDON,COMUNA 12
200550,2020-08-31,16,Hurto,-34.593917,-58.436295,VILLA CRESPO,COMUNA 15
200722,2020-08-31,9,Hurto automotor,-34.593471,-58.444446,VILLA CRESPO,COMUNA 15
200934,2020-08-31,9,Hurto,-34.603209,-58.450161,VILLA CRESPO,COMUNA 15
201535,2020-08-31,1,Robo,-34.593038,-58.432655,VILLA CRESPO,COMUNA 15
201687,2020-08-31,13,Robo,-34.600932,-58.435587,VILLA CRESPO,COMUNA 15
202076,2020-08-31,0:00,Robo,-34.614646,-58.433425,CABALLITO,COMUNA 6
202571,2020-08-31,0:00,Robo,-34.623145,-58.4539,CABALLITO,COMUNA 6
203205,2020-08-31,12,Hurto,-34.611889,-58.44612,CABALLITO,COMUNA 6
203712,2020-08-31,9,Robo,-34.627423,-58.471104,FLORES,COMUNA 7
204347,2020-08-31,14,Hurto automotor,-34.620477,-58.467953,FLORES,COMUNA 7
204416,2020-08-31,8,Robo,-34.629799,-58.463837,FLORES,COMUNA 7
204670,2020-08-31,13,Hurto,-34.632724,-58.4616,FLORES,COMUNA 7
204883,2020-08-31,14,Hurto,-34.62609,-58.462066,FLORES,COMUNA 7
205487,2020-08-31,5,Hurto,-34.629795,-58.497209,VELEZ SARSFIELD,COMUNA 10
205663,2020-08-31,8,Hurto,-34.621908,-58.503439,MONTE CASTRO,COMUNA 10
205787,2020-08-31,8,Hurto automotor,-34.62186,-58.488255,FLORESTA,COMUNA 10
206086,2020-08-31,8,Hurto automotor,-34.61949,-58.495836,FLORESTA,COMUNA 10
206526,2020-08-31,12,Hurto,-34.599276,-58.416078,ALMAGRO,COMUNA 5
207623,2020-08-31,5,Hurto automotor,-34.607277,-58.426184,ALMAGRO,COMUNA 5
207794,2020-08-31,13,Robo,-34.601644,-58.430122,ALMAGRO,COMUNA 5
208275,2020-08-31,5,Hurto,-34.655803,-58.374595,BARRACAS,COMUNA 4
208464,2020-08-31,20,Robo,-34.654294,-58.383351,BARRACAS,COMUNA 4
208639,2020-08-31,17,Robo,-34.651069,-58.40057,BARRACAS,COMUNA 4
208761,2020-08-31,0:00,Hurto,-34.650227,-58.37924,BARRACAS,COMUNA 4
209772,2020-08-31,3,Robo,-34.621543,-58.434996,CABALLITO,COMUNA 6
210204,2020-08-31,12,Robo,-34.626445,-58.43259,CABALLITO,COMUNA 6
210276,2020-08-31,10,Hurto,-34.617953,-58.43587,CABALLITO,COMUNA 6
211456,2020-08-31,16,Robo,-34.564353,-58.456345,BELGRANO,COMUNA 13
212608,2020-08-31,17,Robo,-34.592149,-58.425136,PALERMO,COMUNA 14
213884,2020-08-31,22,Robo,-34.586435,-58.419529,PALERMO,COMUNA 14
214267,2020-08-31,10,Hurto,-34.583745,-58.418563,PALERMO,COMUNA 14
215076,2020-08-31,21,Robo,-34.580756,-58.430758,PALERMO,COMUNA 14
215599,2020-08-31,11,Hurto,-34.576309,-58.432937,PALERMO,COMUNA 14
215705,2020-08-31,14,Hurto,-34.586913,-58.441369,CHACARITA,COMUNA 15
216113,2020-08-31,16,Robo,-34.572432,-58.440396,PALERMO,COMUNA 14
217464,2020-08-31,15,Robo,-34.574329,-58.481975,VILLA URQUIZA,COMUNA 12
218005,2020-08-31,8,Robo,-34.570943,-58.476493,VILLA URQUIZA,COMUNA 12
218091,2020-08-31,10,Robo,-34.651398,-58.517124,LINIERS,COMUNA 9
218222,2020-08-31,16,Hurto,-34.639464,-58.516638,LINIERS,COMUNA 9
218641,2020-08-31,23,Hurto,-34.639342,-58.528792,LINIERS,COMUNA 9
218770,2020-08-31,11,Robo,-34.640252,-58.510555,LINIERS,COMUNA 9
219177,2020-08-31,16,Hurto,-34.636621,-58.477107,FLORESTA,COMUNA 10
219572,2020-08-31,16,Hurto automotor,-34.637645,-58.485373,VELEZ SARSFIELD,COMUNA 10
220022,2020-08-31,11,Robo,-34.549228,-58.448607,BELGRANO,COMUNA 13
220658,2020-08-31,17,Hurto,-34.557169,-58.456509,BELGRANO,COMUNA 13
221078,2020-08-31,11,Hurto,-34.554369,-58.460411,BELGRANO,COMUNA 13
221100,2020-08-31,3,Hurto,-34.55324,-58.464081,NUÑEZ,COMUNA 13
221194,2020-08-31,10,Robo,-34.544571,-58.471538,SAAVEDRA,COMUNA 12
221763,2020-08-31,11,Robo,-34.536101,-58.468066,NUÑEZ,COMUNA 13
221924,2020-08-31,19,Hurto,-34.555915,-58.468465,NUÑEZ,COMUNA 13
222063,2020-08-31,16,Hurto,-34.541,-58.46743,NUÑEZ,COMUNA 13
223450,2020-08-31,7,Robo,-34.656046,-58.497245,MATADEROS,COMUNA 9
223653,2020-08-31,19,Hurto,-34.660554,-58.482863,VILLA LUGANO,COMUNA 8
223831,2020-08-31,7,Robo,-34.654466,-58.507853,MATADEROS,COMUNA 9
224545,2020-08-31,22,Robo,-34.65807,-58.471046,PARQUE AVELLANEDA,COMUNA 9
224700,2020-08-31,20,Robo,-34.657841,-58.478816,PARQUE AVELLANEDA,COMUNA 9
224989,2020-08-31,12,Robo,-34.652287,-58.475724,PARQUE AVELLANEDA,COMUNA 9
225732,2020-08-31,23,Robo,-34.64474,-58.439993,PARQUE CHACABUCO,COMUNA 7
226479,2020-08-31,7,Robo,-34.638755,-58.43592,PARQUE CHACABUCO,COMUNA 7
229764,2020-08-31,12,Robo,-34.592527,-58.411931,RECOLETA,COMUNA 2
229819,2020-08-31,16,Robo,-34.5981,-58.393423,RECOLETA,COMUNA 2
231250,2020-08-31,20,Robo automotor,-34.646346,-58.425155,NUEVA POMPEYA,COMUNA 4
231597,2020-08-31,12,Hurto,-34.640923,-58.419265,NUEVA POMPEYA,COMUNA 4
232817,2020-08-31,12,Robo,-34.630764,-58.397537,PARQUE PATRICIOS,COMUNA 4
233175,2020-08-31,9,Robo,-34.636915,-58.392142,PARQUE PATRICIOS,COMUNA 4
233269,2020-08-31,16,Robo,-34.634263,-58.407885,PARQUE PATRICIOS,COMUNA 4
234150,2020-08-31,11,Hurto,-34.627303,-58.41861,BOEDO,COMUNA 5
234221,2020-08-31,9,Hurto,-34.629142,-58.424064,BOEDO,COMUNA 5
234849,2020-08-31,22,Robo,-34.619729,-58.415215,ALMAGRO,COMUNA 5
235330,2020-08-31,8,Hurto,-34.664992,-58.443022,VILLA SOLDATI,COMUNA 8
235482,2020-08-31,7,Hurto,-34.655533,-58.435128,VILLA SOLDATI,COMUNA 8
235593,2020-08-31,8,Robo,-34.660288,-58.428622,VILLA SOLDATI,COMUNA 8
235799,2020-08-31,9,Hurto,-34.65877,-58.433074,VILLA SOLDATI,COMUNA 8
236051,2020-08-31,10,Robo,-34.660535,-58.450919,VILLA SOLDATI,COMUNA 8
236110,2020-08-31,8,Robo,-34.659854,-58.463764,VILLA SOLDATI,COMUNA 8
236935,2020-08-31,18,Robo,-34.661637,-58.481362,VILLA LUGANO,COMUNA 8
237153,2020-08-31,13,Hurto,-34.660193,-58.482049,VILLA LUGANO,COMUNA 8
238910,2020-08-31,4,Hurto,-34.686101,-58.462756,VILLA LUGANO,COMUNA 8
239211,2020-08-31,18,Robo,-34.57973,-58.413936,PALERMO,COMUNA 14
239272,2020-08-31,15,Hurto,-34.576435,-58.411752,PALERMO,COMUNA 14
239731,2020-08-31,17,Hurto,-34.574276,-58.40279,PALERMO,COMUNA 14
240013,2020-08-31,13,Hurto,-34.577909,-58.424078,PALERMO,COMUNA 14
240515,2020-08-31,17,Hurto,-34.625386,-58.510924,VILLA LURO,COMUNA 10
240610,2020-08-31,22,Robo,-34.628166,-58.511704,VILLA LURO,COMUNA 10
241196,2020-08-31,0:00,Robo,-34.607856,-58.411785,BALVANERA,COMUNA 3
241704,2020-08-31,0,Robo,-34.610593,-58.410216,BALVANERA,COMUNA 3
242124,2020-08-31,15,Robo,-34.606368,-58.412404,BALVANERA,COMUNA 3
242702,2020-08-31,19,Robo,-34.610107,-58.405948,BALVANERA,COMUNA 3
243421,2020-08-31,14,Robo,-34.616861,-58.392044,BALVANERA,COMUNA 3
244449,2020-08-31,18,Hurto,-34.628822,-58.406527,SAN CRISTOBAL,COMUNA 3
246282,2020-08-31,16,Hurto,-34.629179,-58.390804,CONSTITUCION,COMUNA 1
247867,2020-08-31,16,Robo,-34.620483,-58.367032,SAN TELMO,COMUNA 1
247959,2020-08-31,22,Robo,-34.619635,-58.372831,SAN TELMO,COMUNA 1
249101,2020-08-31,16,Hurto,-34.5834,-58.3748,RETIRO,COMUNA 1
250140,2020-08-31,17,Robo,-34.59464,-58.375609,RETIRO,COMUNA 1
250533,2020-08-31,23,Robo,-34.631972,-58.363327,BOCA,COMUNA 4
251418,2020-08-31,1,Hurto,-34.628777,-58.362217,BOCA,COMUNA 4
251863,2020-08-31,16,Hurto,-34.648155,-58.37641,BARRACAS,COMUNA 4
252206,2020-08-31,15,Robo,-34.631992,-58.372955,BARRACAS,COMUNA 4
