#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
192095,2020-02-29,21,Hurto,-34.600478,-58.385679,SAN NICOLAS,COMUNA 1
192216,2020-02-29,8,Robo,-34.618118,-58.389524,CONSTITUCION,COMUNA 1
192282,2020-02-29,10,Robo,-34.60258,-58.38226,SAN NICOLAS,COMUNA 1
192328,2020-02-29,16,Hurto,-34.601678,-58.385367,SAN NICOLAS,COMUNA 1
192388,2020-02-29,17,Hurto,-34.603767,-58.381276,SAN NICOLAS,COMUNA 1
192522,2020-02-29,18,Hurto,-34.609192,-58.39056,SAN NICOLAS,COMUNA 1
192994,2020-02-29,0,Robo,-34.601886,-58.391527,SAN NICOLAS,COMUNA 1
193003,2020-02-29,1,Robo,-34.601886,-58.391527,SAN NICOLAS,COMUNA 1
193123,2020-02-29,5,Robo,-34.618603,-58.384912,CONSTITUCION,COMUNA 1
193149,2020-02-29,17,Robo,-34.6076,-58.38567,SAN NICOLAS,COMUNA 1
193191,2020-02-29,7,Hurto,-34.609024,-58.383129,MONSERRAT,COMUNA 1
193321,2020-02-29,23,Robo,-34.612614,-58.383238,MONSERRAT,COMUNA 1
193449,2020-02-29,18,Hurto,-34.604066,-58.386397,SAN NICOLAS,COMUNA 1
193617,2020-02-29,20,Hurto,-34.617597,-58.381791,MONSERRAT,COMUNA 1
193908,2020-02-29,4,Hurto,-34.610871,-58.37487,MONSERRAT,COMUNA 1
193909,2020-02-29,14,Robo,-34.610432,-58.374852,MONSERRAT,COMUNA 1
193910,2020-02-29,16,Hurto,-34.610432,-58.374852,MONSERRAT,COMUNA 1
194175,2020-02-29,12,Hurto,-34.612649,-58.374722,MONSERRAT,COMUNA 1
194229,2020-02-29,11,Hurto,-34.607538,-58.373565,SAN NICOLAS,COMUNA 1
194328,2020-02-29,9,Hurto,-34.602301,-58.376711,SAN NICOLAS,COMUNA 1
194494,2020-02-29,13,Robo,-34.601307,-58.380731,SAN NICOLAS,COMUNA 1
194638,2020-02-29,2,Hurto,-34.603668,-58.380983,SAN NICOLAS,COMUNA 1
