#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
192199,2020-03-31,18,Robo,-34.617788,-58.389032,MONSERRAT,COMUNA 1
192896,2020-03-31,12,Hurto,-34.605737,-58.392094,SAN NICOLAS,COMUNA 1
193061,2020-03-31,19,Robo,-34.615156,-58.38746,MONSERRAT,COMUNA 1
198947,2020-03-31,13,Hurto,-34.589007,-58.448255,CHACARITA,COMUNA 15
199081,2020-03-31,13,Hurto,-34.586782,-58.455013,CHACARITA,COMUNA 15
200036,2020-03-31,3,Robo,-34.584332,-58.493348,VILLA PUEYRREDON,COMUNA 12
202757,2020-03-31,16,Robo,-34.61405,-58.436341,CABALLITO,COMUNA 6
204217,2020-03-31,17,Hurto automotor,-34.631777,-58.45955,FLORES,COMUNA 7
209171,2020-03-31,11,Hurto,-34.655292,-58.398287,BARRACAS,COMUNA 4
209262,2020-03-31,17,Robo,-34.655971,-58.395069,BARRACAS,COMUNA 4
215716,2020-03-31,14,Hurto,-34.572602,-58.430319,PALERMO,COMUNA 14
218798,2020-03-31,11,Robo,-34.652888,-58.517253,MATADEROS,COMUNA 9
224760,2020-03-31,0,Robo,-34.659592,-58.476714,VILLA LUGANO,COMUNA 8
225461,2020-03-31,2,Robo,-34.636604,-58.444907,PARQUE CHACABUCO,COMUNA 7
226444,2020-03-31,6,Robo,-34.631094,-58.439413,PARQUE CHACABUCO,COMUNA 7
226454,2020-03-31,0,Robo,-34.63157,-58.437394,PARQUE CHACABUCO,COMUNA 7
226672,2020-03-31,0,Robo,-34.632881,-58.444729,PARQUE CHACABUCO,COMUNA 7
228680,2020-03-31,0,Robo,-34.586313,-58.404669,RECOLETA,COMUNA 2
230010,2020-03-31,22,Hurto,-34.594952,-58.402628,RECOLETA,COMUNA 2
230310,2020-03-31,15,Hurto,-34.596052,-58.406981,RECOLETA,COMUNA 2
231415,2020-03-31,10,Robo,-34.65427,-58.431165,NUEVA POMPEYA,COMUNA 4
232486,2020-03-31,17,Robo,-34.655841,-58.413252,NUEVA POMPEYA,COMUNA 4
