#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
1114618,2023-03-31,20,Amenazas,0,0,,
1114619,2023-03-31,16,Amenazas,0,0,,
1114620,2023-03-31,23,Amenazas,0,0,,
1114884,2023-03-31,23,Amenazas,0,0,,
1115558,2023-03-31,22,Amenazas,-34.602049,-58.375339,SAN NICOLAS,COMUNA 1
1115569,2023-03-31,14,Amenazas,-34.597708,-58.375462,RETIRO,COMUNA 1
1115777,2023-03-31,11,Amenazas,-34.619247,-58.378763,CONSTITUCION,COMUNA 1
1116004,2023-03-31,22,Amenazas,-34.606202,-58.382646,SAN NICOLAS,COMUNA 1
1116021,2023-03-31,14,Amenazas,-34.583083,-58.382894,RETIRO,COMUNA 1
1116073,2023-03-31,11,Amenazas,-34.629037,-58.383776,CONSTITUCION,COMUNA 1
1116427,2023-03-31,16,Amenazas,-34.617934,-58.390381,MONSERRAT,COMUNA 1
1117062,2023-03-31,9,Amenazas,-34.61106,-58.402038,BALVANERA,COMUNA 3
1117063,2023-03-31,13,Amenazas,-34.606258,-58.402049,BALVANERA,COMUNA 3
1118500,2023-03-31,12,Amenazas,-34.603256,-58.434369,CABALLITO,COMUNA 6
1118946,2023-03-31,17,Amenazas,-34.631012,-58.443811,PARQUE CHACABUCO,COMUNA 7
1118947,2023-03-31,17,Amenazas,-34.631012,-58.443811,PARQUE CHACABUCO,COMUNA 7
1119685,2023-03-31,12,Amenazas,-34.657707,-58.458384,VILLA SOLDATI,COMUNA 8
1119807,2023-03-31,14,Amenazas,-34.628393,-58.460879,FLORES,COMUNA 7
1119838,2023-03-31,20,Amenazas,-34.558329,-58.461399,BELGRANO,COMUNA 13
1120012,2023-03-31,20,Amenazas,-34.684561,-58.464128,VILLA LUGANO,COMUNA 8
1120937,2023-03-31,20,Amenazas,-34.636331,-58.476748,FLORESTA,COMUNA 10
1121083,2023-03-31,15,Amenazas,-34.614891,-58.480016,VILLA SANTA RITA,COMUNA 11
1121898,2023-03-31,13,Amenazas,-34.580449,-58.493411,VILLA URQUIZA,COMUNA 12
1122041,2023-03-31,23,Amenazas,-34.54992,-58.497372,SAAVEDRA,COMUNA 12
1122127,2023-03-31,15,Amenazas,-34.575713,-58.500149,VILLA URQUIZA,COMUNA 12
1123858,2023-03-31,20,Lesiones Dolosas,-34.634094,-58.360816,BOCA,COMUNA 4
1123859,2023-03-31,14,Lesiones Dolosas,-34.632021,-58.360824,BOCA,COMUNA 4
1123860,2023-03-31,14,Lesiones Dolosas,-34.632021,-58.360824,BOCA,COMUNA 4
1124305,2023-03-31,5,Lesiones Dolosas,-34.590779,-58.37378,RETIRO,COMUNA 1
1124335,2023-03-31,9,Lesiones Dolosas,-34.597424,-58.374262,RETIRO,COMUNA 1
1124668,2023-03-31,11,Lesiones Dolosas,-34.619247,-58.378763,CONSTITUCION,COMUNA 1
1125230,2023-03-31,9,Lesiones Dolosas,-34.630245,-58.38412,CONSTITUCION,COMUNA 1
1125267,2023-03-31,0,Lesiones Dolosas,-34.627007,-58.384357,CONSTITUCION,COMUNA 1
1125687,2023-03-31,3,Lesiones Dolosas,-34.623979,-58.389762,CONSTITUCION,COMUNA 1
1126124,2023-03-31,21,Lesiones Dolosas,-34.605331,-58.39516,BALVANERA,COMUNA 3
1126677,2023-03-31,9,Lesiones Dolosas,-34.61106,-58.402038,BALVANERA,COMUNA 3
1128243,2023-03-31,17,Lesiones Dolosas,-34.580129,-58.42574,PALERMO,COMUNA 14
1128244,2023-03-31,17,Lesiones Dolosas,-34.580129,-58.42574,PALERMO,COMUNA 14
1129374,2023-03-31,23,Lesiones Dolosas,-34.66373,-58.444655,VILLA SOLDATI,COMUNA 8
1130448,2023-03-31,0,Lesiones Dolosas,-34.548737,-58.461221,NUÑEZ,COMUNA 13
1130622,2023-03-31,20,Lesiones Dolosas,-34.684561,-58.464128,VILLA LUGANO,COMUNA 8
1130756,2023-03-31,23,Lesiones Dolosas,-34.64273,-58.465679,FLORES,COMUNA 7
1132700,2023-03-31,0,Lesiones Dolosas,-34.605134,-58.491088,VILLA DEL PARQUE,COMUNA 11
1133018,2023-03-31,0,Lesiones Dolosas,-34.62543,-58.497528,VELEZ SARSFIELD,COMUNA 10
1133168,2023-03-31,2,Lesiones Dolosas,-34.583467,-58.503046,VILLA PUEYRREDON,COMUNA 12
1133176,2023-03-31,0,Lesiones Dolosas,-34.660133,-58.503109,MATADEROS,COMUNA 9
1133707,2023-03-31,17,Lesiones Dolosas,-34.615508,-58.523115,VILLA DEVOTO,COMUNA 11
1134889,2023-03-31,2,Lesiones en siniestros viales,0,0,,
1134890,2023-03-31,12,Lesiones en siniestros viales,0,0,,
1134891,2023-03-31,16,Lesiones en siniestros viales,0,0,,
1134892,2023-03-31,21,Lesiones en siniestros viales,0,0,,
1134893,2023-03-31,17,Lesiones en siniestros viales,0,0,,
1134938,2023-03-31,10,Lesiones en siniestros viales,0,0,,
1134939,2023-03-31,10,Lesiones en siniestros viales,0,0,,
1134940,2023-03-31,12,Lesiones en siniestros viales,0,0,,
1135580,2023-03-31,11,Lesiones en siniestros viales,-34.590383,-58.370998,RETIRO,COMUNA 1
1135744,2023-03-31,20,Lesiones en siniestros viales,-34.645245,-58.37583,BARRACAS,COMUNA 4
1137172,2023-03-31,12,Lesiones en siniestros viales,-34.595891,-58.40295,RECOLETA,COMUNA 2
1137493,2023-03-31,15,Lesiones en siniestros viales,-34.602892,-58.40732,BALVANERA,COMUNA 3
1137736,2023-03-31,10,Lesiones en siniestros viales,-34.596255,-58.411625,RECOLETA,COMUNA 2
1137859,2023-03-31,12,Lesiones en siniestros viales,-34.644694,-58.414011,NUEVA POMPEYA,COMUNA 4
1138971,2023-03-31,17,Lesiones en siniestros viales,-34.600618,-58.436807,VILLA CRESPO,COMUNA 15
1139444,2023-03-31,10,Lesiones en siniestros viales,-34.608034,-58.443743,CABALLITO,COMUNA 6
1139627,2023-03-31,12,Lesiones en siniestros viales,-34.593353,-58.445823,VILLA CRESPO,COMUNA 15
1140215,2023-03-31,17,Lesiones en siniestros viales,-34.60191,-58.454476,VILLA CRESPO,COMUNA 15
1140934,2023-03-31,9,Lesiones en siniestros viales,-34.552751,-58.465134,NUÑEZ,COMUNA 13
1141443,2023-03-31,16,Lesiones en siniestros viales,-34.62705,-58.471378,FLORES,COMUNA 7
1141479,2023-03-31,13,Lesiones en siniestros viales,-34.568325,-58.471962,VILLA URQUIZA,COMUNA 12
1141849,2023-03-31,6,Lesiones en siniestros viales,-34.627993,-58.477638,FLORESTA,COMUNA 10
1142520,2023-03-31,17,Lesiones en siniestros viales,-34.554968,-58.488723,SAAVEDRA,COMUNA 12
1142570,2023-03-31,12,Lesiones en siniestros viales,-34.580515,-58.489592,VILLA URQUIZA,COMUNA 12
1142721,2023-03-31,10,Lesiones en siniestros viales,-34.577801,-58.49226,VILLA URQUIZA,COMUNA 12
1142784,2023-03-31,19,Lesiones en siniestros viales,-34.54837,-58.493326,SAAVEDRA,COMUNA 12
1142913,2023-03-31,7,Lesiones en siniestros viales,-34.623078,-58.496043,FLORESTA,COMUNA 10
1143126,2023-03-31,8,Lesiones en siniestros viales,-34.550099,-58.500426,SAAVEDRA,COMUNA 12
1143231,2023-03-31,9,Lesiones en siniestros viales,-34.586285,-58.502186,VILLA PUEYRREDON,COMUNA 12
1143345,2023-03-31,13,Lesiones en siniestros viales,-34.566023,-58.505008,SAAVEDRA,COMUNA 12
1143407,2023-03-31,15,Lesiones en siniestros viales,-34.571406,-58.506673,VILLA URQUIZA,COMUNA 12
1144171,2023-03-31,13,Lesiones en siniestros viales,-34.640558,-58.529939,LINIERS,COMUNA 9
1272442,2023-03-31,10,Hurto,-34.59548271,-58.38315837,RETIRO,COMUNA 1
1273772,2023-03-31,7,Hurto,-34.631888,-58.41223,BOEDO,COMUNA 5
1273905,2023-03-31,7,Robo,-34.629759,-58.455128,FLORES,COMUNA 7
1273976,2023-03-31,7,Hurto,-34.657522,-58.434867,VILLA SOLDATI,COMUNA 8
1274434,2023-03-31,18,Robo,-34.627772,-58.383106,CONSTITUCION,COMUNA 1
1274849,2023-03-31,2,Robo,-34.636911,-58.373224,BARRACAS,COMUNA 4
1274878,2023-03-31,22,Robo,-34.642978,-58.528875,LINIERS,COMUNA 9
1275552,2023-03-31,8,Robo,-34.581082,-58.431045,PALERMO,COMUNA 14
1275971,2023-03-31,23,Hurto,-34.592281,-58.424893,PALERMO,COMUNA 14
1276128,2023-03-31,20,Robo,-34.589419,-58.435142,PALERMO,COMUNA 14
1276357,2023-03-31,17,Hurto,-34.55380335,-58.44051479,BELGRANO,COMUNA 13
1276536,2023-03-31,11,Hurto,-34.651652,-58.39432,BARRACAS,COMUNA 4
1276540,2023-03-31,9,Robo,-34.609039,-58.381106,MONSERRAT,COMUNA 1
1277019,2023-03-31,0,Hurto automotor,-34.598599,-58.420904,ALMAGRO,COMUNA 5
1277209,2023-03-31,7,Robo,-34.61594,-58.46269,FLORES,COMUNA 7
1277483,2023-03-31,4,Robo,-34.609699,-58.43428,CABALLITO,COMUNA 6
1277523,2023-03-31,9,Robo,-34.61909061,-58.46004091,FLORES,COMUNA 7
1278216,2023-03-31,7,Hurto automotor,-34.622906,-58.369052,SAN TELMO,COMUNA 1
1278577,2023-03-31,10,Robo,-34.613695,-58.436779,CABALLITO,COMUNA 6
1278578,2023-03-31,10,Hurto,-34.608874,-58.437889,CABALLITO,COMUNA 6
1278670,2023-03-31,12,Robo,-34.643334,-58.466759,FLORES,COMUNA 7
1279426,2023-03-31,6,Robo,-34.654905,-58.470728,PARQUE AVELLANEDA,COMUNA 9
1279571,2023-03-31,14,Robo,-34.638019,-58.502826,VILLA LURO,COMUNA 10
1280076,2023-03-31,0,Robo,-34.595588,-58.384307,RETIRO,COMUNA 1
1280077,2023-03-31,22,Robo,-34.58901699,-58.37147417,RETIRO,COMUNA 1
1280079,2023-03-31,23,Hurto,-34.596694,-58.385738,RETIRO,COMUNA 1
1280163,2023-03-31,18,Hurto automotor,-34.680412,-58.493012,VILLA LUGANO,COMUNA 8
1280929,2023-03-31,21,Hurto,-34.640679,-58.515985,LINIERS,COMUNA 9
1281291,2023-03-31,1,Robo,-34.65255708,-58.47294499,PARQUE AVELLANEDA,COMUNA 9
1281644,2023-03-31,7,Robo,-34.59152,-58.41785,PALERMO,COMUNA 14
1282288,2023-03-31,21,Hurto automotor,-34.623003,-58.497036,VELEZ SARSFIELD,COMUNA 10
1282521,2023-03-31,8,Robo,-34.58865306,-58.37685024,RETIRO,COMUNA 1
1282557,2023-03-31,6,Robo,-34.64582,-58.382863,BARRACAS,COMUNA 4
1283314,2023-03-31,0,Hurto,-34.628945,-58.431047,PARQUE CHACABUCO,COMUNA 7
1283382,2023-03-31,1,Hurto,-34.61758273,-58.45798263,FLORES,COMUNA 7
1283668,2023-03-31,20,Robo,-34.593374,-58.496486,AGRONOMIA,COMUNA 15
1284053,2023-03-31,7,Hurto,-34.6008597,-58.46194924,PATERNAL,COMUNA 15
1284600,2023-03-31,16,Robo,-34.65791948,-58.47874846,VILLA LUGANO,COMUNA 8
1284615,2023-03-31,20,Robo,-34.6714885,-58.49733762,VILLA LUGANO,COMUNA 8
1284797,2023-03-31,15,Robo,-34.640419,-58.517733,LINIERS,COMUNA 9
