#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
1114762,2023-08-31,17,Amenazas,0,0,,
1114935,2023-08-31,13,Amenazas,0,0,,
1115101,2023-08-31,20,Amenazas,-34.62992,-58.359779,BOCA,COMUNA 4
1115372,2023-08-31,11,Amenazas,-34.634834,-58.371734,BARRACAS,COMUNA 4
1115373,2023-08-31,11,Amenazas,-34.634834,-58.371734,BARRACAS,COMUNA 4
1115441,2023-08-31,6,Amenazas,-34.610377,-58.373413,MONSERRAT,COMUNA 1
1115956,2023-08-31,19,Amenazas,-34.62863,-58.381454,CONSTITUCION,COMUNA 1
1116234,2023-08-31,12,Amenazas,-34.628195,-58.387029,CONSTITUCION,COMUNA 1
1117534,2023-08-31,20,Amenazas,-34.631879,-58.409625,PARQUE PATRICIOS,COMUNA 4
1117761,2023-08-31,12,Amenazas,-34.646293,-58.41477,NUEVA POMPEYA,COMUNA 4
1117847,2023-08-31,15,Amenazas,-34.590096,-58.41687,PALERMO,COMUNA 14
1117992,2023-08-31,20,Amenazas,-34.596437,-58.420399,PALERMO,COMUNA 14
1118209,2023-08-31,12,Amenazas,-34.587097,-58.425655,PALERMO,COMUNA 14
1118210,2023-08-31,12,Amenazas,-34.587097,-58.425655,PALERMO,COMUNA 14
1118780,2023-08-31,13,Amenazas,-34.648812,-58.440701,FLORES,COMUNA 7
1119157,2023-08-31,16,Amenazas,-34.640972,-58.448755,FLORES,COMUNA 7
1119271,2023-08-31,16,Amenazas,-34.662219,-58.451051,VILLA SOLDATI,COMUNA 8
1119439,2023-08-31,13,Amenazas,-34.637855,-58.453789,FLORES,COMUNA 7
1119476,2023-08-31,19,Amenazas,-34.584535,-58.454604,CHACARITA,COMUNA 15
1119693,2023-08-31,19,Amenazas,-34.657707,-58.458384,VILLA SOLDATI,COMUNA 8
1119732,2023-08-31,22,Amenazas,-34.565387,-58.459269,BELGRANO,COMUNA 13
1119758,2023-08-31,2,Amenazas,-34.656701,-58.459842,VILLA SOLDATI,COMUNA 8
1120358,2023-08-31,19,Amenazas,-34.6346,-58.468263,FLORES,COMUNA 7
1121093,2023-08-31,18,Amenazas,-34.666464,-58.480171,VILLA LUGANO,COMUNA 8
1121190,2023-08-31,0,Amenazas,-34.671967,-58.48268,VILLA LUGANO,COMUNA 8
1122274,2023-08-31,14,Amenazas,-34.618846,-58.504099,MONTE CASTRO,COMUNA 10
1122749,2023-08-31,15,Amenazas,-34.624164,-58.524165,VERSALLES,COMUNA 10
1123639,2023-08-31,9,Lesiones Dolosas,0,0,,
1123896,2023-08-31,22,Lesiones Dolosas,-34.631044,-58.362363,BOCA,COMUNA 4
1123897,2023-08-31,22,Lesiones Dolosas,-34.631044,-58.362363,BOCA,COMUNA 4
1123898,2023-08-31,22,Lesiones Dolosas,-34.631044,-58.362363,BOCA,COMUNA 4
1123983,2023-08-31,0,Lesiones Dolosas,-34.622659,-58.365945,SAN TELMO,COMUNA 1
1124185,2023-08-31,11,Lesiones Dolosas,-34.634834,-58.371734,BARRACAS,COMUNA 4
1124186,2023-08-31,11,Lesiones Dolosas,-34.634834,-58.371734,BARRACAS,COMUNA 4
1124233,2023-08-31,22,Lesiones Dolosas,-34.621887,-58.372806,SAN TELMO,COMUNA 1
1124261,2023-08-31,0,Lesiones Dolosas,-34.614693,-58.373238,MONSERRAT,COMUNA 1
1124998,2023-08-31,19,Lesiones Dolosas,-34.62863,-58.381454,CONSTITUCION,COMUNA 1
1125347,2023-08-31,14,Lesiones Dolosas,-34.609846,-58.385107,MONSERRAT,COMUNA 1
1126533,2023-08-31,2,Lesiones Dolosas,-34.611574,-58.40031,BALVANERA,COMUNA 3
1126695,2023-08-31,12,Lesiones Dolosas,-34.628356,-58.402428,SAN CRISTOBAL,COMUNA 3
1126698,2023-08-31,13,Lesiones Dolosas,-34.635175,-58.402449,PARQUE PATRICIOS,COMUNA 4
1127066,2023-08-31,11,Lesiones Dolosas,-34.619845,-58.406386,SAN CRISTOBAL,COMUNA 3
1127153,2023-08-31,10,Lesiones Dolosas,-34.585497,-58.407479,RECOLETA,COMUNA 2
1127970,2023-08-31,20,Lesiones Dolosas,-34.596437,-58.420399,PALERMO,COMUNA 14
1128126,2023-08-31,23,Lesiones Dolosas,-34.597573,-58.423298,PALERMO,COMUNA 14
1128392,2023-08-31,12,Lesiones Dolosas,-34.608637,-58.428534,ALMAGRO,COMUNA 5
1128496,2023-08-31,20,Lesiones Dolosas,-34.622543,-58.430762,CABALLITO,COMUNA 6
1128768,2023-08-31,16,Lesiones Dolosas,-34.6003,-58.435473,VILLA CRESPO,COMUNA 15
1128825,2023-08-31,8,Lesiones Dolosas,-34.618299,-58.43646,CABALLITO,COMUNA 6
1129117,2023-08-31,13,Lesiones Dolosas,-34.648812,-58.440701,FLORES,COMUNA 7
1129431,2023-08-31,19,Lesiones Dolosas,-34.629816,-58.446063,CABALLITO,COMUNA 6
1129515,2023-08-31,23,Lesiones Dolosas,-34.598845,-58.447673,VILLA CRESPO,COMUNA 15
1130439,2023-08-31,14,Lesiones Dolosas,-34.627043,-58.461066,FLORES,COMUNA 7
1130458,2023-08-31,20,Lesiones Dolosas,-34.62853,-58.461305,FLORES,COMUNA 7
1130643,2023-08-31,15,Lesiones Dolosas,-34.684468,-58.464569,VILLA LUGANO,COMUNA 8
1130644,2023-08-31,15,Lesiones Dolosas,-34.684468,-58.464569,VILLA LUGANO,COMUNA 8
1130764,2023-08-31,1,Lesiones Dolosas,-34.578899,-58.465782,VILLA ORTUZAR,COMUNA 15
1130903,2023-08-31,19,Lesiones Dolosas,-34.674789,-58.466394,VILLA LUGANO,COMUNA 8
1130951,2023-08-31,11,Lesiones Dolosas,-34.651997,-58.46677,PARQUE AVELLANEDA,COMUNA 9
1131313,2023-08-31,11,Lesiones Dolosas,-34.660814,-58.47098,VILLA LUGANO,COMUNA 8
1131531,2023-08-31,17,Lesiones Dolosas,-34.551889,-58.473364,NUÑEZ,COMUNA 13
1133560,2023-08-31,12,Lesiones Dolosas,-34.649357,-58.5158,LINIERS,COMUNA 9
1133561,2023-08-31,12,Lesiones Dolosas,-34.649357,-58.5158,LINIERS,COMUNA 9
1134145,2023-08-31,7,Lesiones en siniestros viales,0,0,,
1134146,2023-08-31,12,Lesiones en siniestros viales,0,0,,
