#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
1114803,2023-10-31,18,Amenazas,0,0,,
1114948,2023-10-31,21,Amenazas,0,0,,
1115068,2023-10-31,14,Amenazas,-34.634427,-58.357813,BOCA,COMUNA 4
1115413,2023-10-31,8,Amenazas,-34.612604,-58.372828,MONSERRAT,COMUNA 1
1115464,2023-10-31,18,Amenazas,-34.624025,-58.37401,SAN TELMO,COMUNA 1
1115474,2023-10-31,15,Amenazas,-34.623885,-58.374131,SAN TELMO,COMUNA 1
1115964,2023-10-31,10,Amenazas,-34.648764,-58.381493,BARRACAS,COMUNA 4
1115965,2023-10-31,10,Amenazas,-34.648764,-58.381493,BARRACAS,COMUNA 4
1116066,2023-10-31,16,Amenazas,-34.595456,-58.38366,RETIRO,COMUNA 1
1116592,2023-10-31,3,Amenazas,-34.59577,-58.392777,RECOLETA,COMUNA 2
1116641,2023-10-31,17,Amenazas,-34.612825,-58.394355,BALVANERA,COMUNA 3
1117028,2023-10-31,10,Amenazas,-34.600784,-58.400959,BALVANERA,COMUNA 3
1117164,2023-10-31,2,Amenazas,-34.653249,-58.403591,NUEVA POMPEYA,COMUNA 4
1117224,2023-10-31,16,Amenazas,-34.625688,-58.404594,SAN CRISTOBAL,COMUNA 3
1117948,2023-10-31,12,Amenazas,-34.602664,-58.41938,ALMAGRO,COMUNA 5
1117951,2023-10-31,16,Amenazas,-34.60242,-58.419441,ALMAGRO,COMUNA 5
1118086,2023-10-31,20,Amenazas,-34.605802,-58.42286,ALMAGRO,COMUNA 5
1118204,2023-10-31,22,Amenazas,-34.580508,-58.425555,PALERMO,COMUNA 14
1118871,2023-10-31,16,Amenazas,-34.605331,-58.442441,VILLA CRESPO,COMUNA 15
1119485,2023-10-31,19,Amenazas,-34.65925,-58.454688,VILLA SOLDATI,COMUNA 8
1119486,2023-10-31,19,Amenazas,-34.65925,-58.454688,VILLA SOLDATI,COMUNA 8
1119537,2023-10-31,9,Amenazas,-34.637221,-58.455479,FLORES,COMUNA 7
1120362,2023-10-31,14,Amenazas,-34.61825,-58.46828,FLORES,COMUNA 7
1120363,2023-10-31,14,Amenazas,-34.61825,-58.46828,FLORES,COMUNA 7
1120364,2023-10-31,14,Amenazas,-34.61825,-58.46828,FLORES,COMUNA 7
1120916,2023-10-31,13,Amenazas,-34.54741,-58.476418,SAAVEDRA,COMUNA 12
1121191,2023-10-31,0,Amenazas,-34.565187,-58.482695,VILLA URQUIZA,COMUNA 12
1121742,2023-10-31,0,Amenazas,-34.671152,-58.490711,VILLA LUGANO,COMUNA 8
1121743,2023-10-31,0,Amenazas,-34.671152,-58.490711,VILLA LUGANO,COMUNA 8
1121935,2023-10-31,9,Amenazas,-34.585036,-58.494476,VILLA PUEYRREDON,COMUNA 12
1121936,2023-10-31,9,Amenazas,-34.585036,-58.494476,VILLA PUEYRREDON,COMUNA 12
1121968,2023-10-31,1,Amenazas,-34.569463,-58.495105,VILLA URQUIZA,COMUNA 12
1122261,2023-10-31,12,Amenazas,-34.638399,-58.503598,VILLA LURO,COMUNA 10
1124237,2023-10-31,8,Lesiones Dolosas,-34.612604,-58.372828,MONSERRAT,COMUNA 1
1125809,2023-10-31,14,Lesiones Dolosas,-34.615625,-58.391075,MONSERRAT,COMUNA 1
1126040,2023-10-31,3,Lesiones Dolosas,-34.648534,-58.394005,BARRACAS,COMUNA 4
