#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
1114655,2023-04-30,15,Amenazas,0,0,,
1115319,2023-04-30,16,Amenazas,-34.617284,-58.37011,SAN TELMO,COMUNA 1
1116857,2023-04-30,4,Amenazas,-34.654819,-58.398481,BARRACAS,COMUNA 4
1116858,2023-04-30,21,Amenazas,-34.654819,-58.398481,BARRACAS,COMUNA 4
1117731,2023-04-30,23,Amenazas,-34.6385,-58.413979,BOEDO,COMUNA 5
1118284,2023-04-30,15,Amenazas,-34.58719,-58.427928,PALERMO,COMUNA 14
1118285,2023-04-30,15,Amenazas,-34.58719,-58.427928,PALERMO,COMUNA 14
1118301,2023-04-30,8,Amenazas,-34.624804,-58.428625,CABALLITO,COMUNA 6
1118923,2023-04-30,12,Amenazas,-34.651187,-58.443326,FLORES,COMUNA 7
1118957,2023-04-30,15,Amenazas,-34.615206,-58.444034,CABALLITO,COMUNA 6
1118958,2023-04-30,15,Amenazas,-34.615206,-58.444034,CABALLITO,COMUNA 6
1119238,2023-04-30,4,Amenazas,-34.679587,-58.450304,VILLA SOLDATI,COMUNA 8
1119533,2023-04-30,0,Amenazas,-34.579977,-58.455376,CHACARITA,COMUNA 15
1122192,2023-04-30,0,Amenazas,-34.672384,-58.502078,MATADEROS,COMUNA 9
1122308,2023-04-30,1,Amenazas,-34.587531,-58.505241,VILLA PUEYRREDON,COMUNA 12
1122343,2023-04-30,16,Amenazas,-34.591254,-58.506431,VILLA DEVOTO,COMUNA 11
1122547,2023-04-30,15,Amenazas,-34.633463,-58.513889,VERSALLES,COMUNA 10
1122762,2023-04-30,17,Amenazas,-34.640442,-58.524929,LINIERS,COMUNA 9
1123005,2023-04-30,5,Lesiones Dolosas,0,0,,
1123006,2023-04-30,15,Lesiones Dolosas,0,0,,
1123264,2023-04-30,0,Lesiones Dolosas,0,0,,
1123265,2023-04-30,0,Lesiones Dolosas,0,0,,
1123505,2023-04-30,0,Lesiones Dolosas,0,0,,
1124491,2023-04-30,21,Lesiones Dolosas,-34.611001,-58.376276,MONSERRAT,COMUNA 1
1124839,2023-04-30,0,Lesiones Dolosas,-34.581731,-58.381263,RETIRO,COMUNA 1
1125509,2023-04-30,0,Lesiones Dolosas,-34.627116,-58.387188,CONSTITUCION,COMUNA 1
1125791,2023-04-30,14,Lesiones Dolosas,-34.620213,-58.390806,CONSTITUCION,COMUNA 1
1125882,2023-04-30,17,Lesiones Dolosas,-34.609233,-58.391962,BALVANERA,COMUNA 3
1125990,2023-04-30,1,Lesiones Dolosas,-34.636647,-58.393174,PARQUE PATRICIOS,COMUNA 4
1125991,2023-04-30,1,Lesiones Dolosas,-34.636647,-58.393174,PARQUE PATRICIOS,COMUNA 4
1126105,2023-04-30,0,Lesiones Dolosas,-34.655406,-58.395068,BARRACAS,COMUNA 4
1126345,2023-04-30,4,Lesiones Dolosas,-34.654819,-58.398481,BARRACAS,COMUNA 4
1127921,2023-04-30,16,Lesiones Dolosas,-34.640923,-58.419265,NUEVA POMPEYA,COMUNA 4
1128326,2023-04-30,5,Lesiones Dolosas,-34.589028,-58.426774,PALERMO,COMUNA 14
1128374,2023-04-30,15,Lesiones Dolosas,-34.58719,-58.427928,PALERMO,COMUNA 14
1128375,2023-04-30,15,Lesiones Dolosas,-34.58719,-58.427928,PALERMO,COMUNA 14
1128681,2023-04-30,13,Lesiones Dolosas,-34.639447,-58.433945,PARQUE CHACABUCO,COMUNA 7
